concept_id,wave_id,q_id,option_id,concept_option_id
attr_sexo,2022,cp2_1,1,attr_sexo:0
attr_sexo,2022,cp2_1,2,attr_sexo:1
attr_sexo,2022,cp2_1,9999,attr_sexo:9999
attr_sexo,2021,cp2_1,1,attr_sexo:0
attr_sexo,2021,cp2_1,2,attr_sexo:1
attr_sexo,2021,cp2_1,9,attr_sexo:9999
c2025_p127,2024,p116,1,c2025_p127:1
c2025_p127,2024,p116,2,c2025_p127:2
c2025_p127,2024,p116,3,c2025_p127:3
c2025_p127,2024,p116,4,c2025_p127:4
c2025_p127,2024,p116,5,c2025_p127:5
c2025_p127,2024,p116,7,c2025_p127:7
c2025_p127,2024,p116,8,c2025_p127:8_2024
c2025_p127,2024,p116,8888,c2025_p127:8888
c2025_p127,2024,p116,9999,c2025_p127:9999
c2025_p109,2024,p98,1,c2025_p109:1
c2025_p109,2024,p98,2,c2025_p109:2
c2025_p109,2024,p98,3,c2025_p109:3
c2025_p109,2024,p98,4,c2025_p109:4
c2025_p109,2024,p98,5,c2025_p109:5
c2025_p109,2024,p98,6,c2025_p109:6_2024
c2025_p109,2024,p98,7,c2025_p109:7
c2025_p109,2024,p98,8,c2025_p109:8_2024
c2025_p109,2024,p98,9,c2025_p109:9
c2025_p109,2024,p98,10,c2025_p109:10_2024
c2025_p109,2024,p98,11,c2025_p109:8
c2025_p109,2024,p98,8888,c2025_p109:8888
c2025_p109,2024,p98,9999,c2025_p109:9999
c2025_p12,2024,p13,1,c2025_p12:1
c2025_p12,2024,p13,2,c2025_p12:2
c2025_p12,2024,p13,3,c2025_p12:3
c2025_p12,2024,p13,4,c2025_p12:4
c2025_p12,2024,p13,5,c2025_p12:5
c2025_p12,2024,p13,6,c2025_p12:6
c2025_p12,2024,p13,7,c2025_p12:7
c2025_p12,2024,p13,8,c2025_p12:8
c2025_p12,2024,p13,9,c2025_p12:12
c2025_p12,2024,p13,10,c2025_p12:9
c2025_p12,2024,p13,9999,c2025_p12:9999
c2025_p48,2024,p38,1,c2025_p48:1
c2025_p48,2024,p38,2,c2025_p48:2
c2025_p48,2024,p38,3,c2025_p48:3
c2025_p48,2024,p38,4,c2025_p48:4
c2025_p48,2024,p38,5,c2025_p48:5
c2025_p48,2024,p38,6,c2025_p48:6
c2025_p48,2024,p38,7,c2025_p48:7
c2025_p48,2024,p38,8,c2025_p48:8
c2025_p48,2024,p38,9,c2025_p48:9
c2025_p48,2024,p38,10,c2025_p48:11
c2025_p48,2024,p38,11,c2025_p48:11_2024
c2025_p48,2024,p38,12,c2025_p48:12_2024
c2025_p48,2024,p38,13,c2025_p48:13_2024
c2025_p48,2024,p38,14,c2025_p48:14_2024
c2025_p48,2024,p38,15,c2025_p48:15_2024
c2025_p48,2024,p38,9999,c2025_p48:9999
c2025_p51,2024,p45,1,c2025_p51:1
c2025_p51,2024,p45,2,c2025_p51:2
c2025_p51,2024,p45,3,c2025_p51:3
c2025_p51,2024,p45,4,c2025_p51:4
c2025_p51,2024,p45,5,c2025_p51:5
c2025_p51,2024,p45,6,c2025_p51:6
c2025_p51,2024,p45,7,c2025_p51:8
c2025_p51,2024,p45,8,c2025_p51:7
c2025_p51,2024,p45,9,c2025_p51:9_2024
c2025_p51,2024,p45,8888,c2025_p51:8888
c2025_p51,2024,p45,9999,c2025_p51:9999
c2025_p65,2024,p54,1,c2025_p65:1
c2025_p65,2024,p54,2,c2025_p65:2
c2025_p65,2024,p54,3,c2025_p65:3
c2025_p65,2024,p54,4,c2025_p65:4
c2025_p65,2024,p54,5,c2025_p65:5
c2025_p65,2024,p54,6,c2025_p65:6
c2025_p65,2024,p54,7,c2025_p65:15
c2025_p65,2024,p54,8,c2025_p65:8_2024
c2025_p65,2024,p54,9,c2025_p65:17
c2025_p65,2024,p54,8888,c2025_p65:8888
c2025_p65,2024,p54,9999,c2025_p65:9999
c2025_p79,2024,p66,1,c2025_p79:1
c2025_p79,2024,p66,2,c2025_p79:2
c2025_p79,2024,p66,3,c2025_p79:3
c2025_p79,2024,p66,4,c2025_p79:4
c2025_p79,2024,p66,5,c2025_p79:5
c2025_p79,2024,p66,6,c2025_p79:7
c2025_p79,2024,p66,7,c2025_p79:7_2024
c2025_p79,2024,p66,8888,c2025_p79:8888
c2025_p79,2024,p66,9999,c2025_p79:9999
c2025_p80,2024,p67,1,c2025_p80:1
c2025_p80,2024,p67,2,c2025_p80:2
c2025_p80,2024,p67,3,c2025_p80:3
c2025_p80,2024,p67,4,c2025_p80:4
c2025_p80,2024,p67,5,c2025_p80:5
c2025_p80,2024,p67,6,c2025_p80:8
c2025_p80,2024,p67,7,c2025_p80:6
c2025_p80,2024,p67,8888,c2025_p80:8888
c2025_p80,2024,p67,9999,c2025_p80:9999
c2025_p85,2024,p72,1,c2025_p85:1
c2025_p85,2024,p72,2,c2025_p85:2
c2025_p85,2024,p72,3,c2025_p85:3
c2025_p85,2024,p72,4,c2025_p85:4
c2025_p85,2024,p72,5,c2025_p85:5
c2025_p85,2024,p72,6,c2025_p85:6
c2025_p85,2024,p72,7,c2025_p85:7
c2025_p85,2024,p72,8,c2025_p85:8_2024
c2025_p85,2024,p72,9,c2025_p85:9_2024
c2025_p85,2024,p72,10,c2025_p85:14
c2025_p85,2024,p72,11,c2025_p85:15
c2025_p85,2024,p72,8888,c2025_p85:8888
c2025_p85,2024,p72,9999,c2025_p85:9999
c2025_p94,2024,p83,1,c2025_p94:1
c2025_p94,2024,p83,2,c2025_p94:2
c2025_p94,2024,p83,3,c2025_p94:3
c2025_p94,2024,p83,4,c2025_p94:4
c2025_p94,2024,p83,5,c2025_p94:5
c2025_p94,2024,p83,6,c2025_p94:6
c2025_p94,2024,p83,7,c2025_p94:7
c2025_p94,2024,p83,8,c2025_p94:8
c2025_p94,2024,p83,9,c2025_p94:9_2024
c2025_p94,2024,p83,8888,c2025_p94:8888
c2025_p94,2024,p83,9999,c2025_p94:9999
c2025_p99,2024,p88,1,c2025_p99:1
c2025_p99,2024,p88,2,c2025_p99:2
c2025_p99,2024,p88,3,c2025_p99:3
c2025_p99,2024,p88,4,c2025_p99:4_2024
c2025_p99,2024,p88,8888,c2025_p99:8888
c2025_p99,2024,p88,9999,c2025_p99:9999
c2025_p110,2024,p99,1,c2025_p110:1
c2025_p110,2024,p99,2,c2025_p110:2
c2025_p110,2024,p99,3,c2025_p110:3
c2025_p110,2024,p99,4,c2025_p110:4
c2025_p110,2024,p99,5,c2025_p110:5
c2025_p110,2024,p99,6,c2025_p110:6
c2025_p110,2024,p99,7,c2025_p110:7
c2025_p110,2024,p99,8,c2025_p110:8
c2025_p110,2024,p99,9,c2025_p110:9
c2025_p110,2024,p99,10,c2025_p110:14
c2025_p110,2024,p99,8888,c2025_p110:8888
c2025_p110,2024,p99,9999,c2025_p110:9999
c2025_p128,2024,p117,1,c2025_p128:1
c2025_p128,2024,p117,2,c2025_p128:2
c2025_p128,2024,p117,3,c2025_p128:3
c2025_p128,2024,p117,4,c2025_p128:4
c2025_p128,2024,p117,5,c2025_p128:5
c2025_p128,2024,p117,6,c2025_p128:6
c2025_p128,2024,p117,7,c2025_p128:7
c2025_p128,2024,p117,8,c2025_p128:8
c2025_p128,2024,p117,9,c2025_p128:10
c2025_p128,2024,p117,10,c2025_p128:11
c2025_p128,2024,p117,8888,c2025_p128:8888
c2025_p128,2024,p117,9999,c2025_p128:9999
c2025_p129,2024,p118,1,c2025_p129:1
c2025_p129,2024,p118,2,c2025_p129:2
c2025_p129,2024,p118,3,c2025_p129:3
c2025_p129,2024,p118,4,c2025_p129:4
c2025_p129,2024,p118,5,c2025_p129:5
c2025_p129,2024,p118,6,c2025_p129:6
c2025_p129,2024,p118,7,c2025_p129:7
c2025_p129,2024,p118,8,c2025_p129:8_2024
c2025_p129,2024,p118,8888,c2025_p129:8888
c2025_p129,2024,p118,9999,c2025_p129:9999
c2025_p166,2024,p163,1,c2025_p166:1
c2025_p166,2024,p163,2,c2025_p166:2
c2025_p166,2024,p163,3,c2025_p166:3
c2025_p166,2024,p163,4,c2025_p166:4
c2025_p166,2024,p163,5,c2025_p166:5
c2025_p166,2024,p163,6,c2025_p166:6
c2025_p166,2024,p163,7,c2025_p166:7
c2025_p166,2024,p163,8,c2025_p166:8
c2025_p166,2024,p163,9,c2025_p166:10
c2025_p166,2024,p163,10,c2025_p166:13
c2025_p166,2024,p163,11,c2025_p166:11_2024
c2025_p166,2024,p163,12,c2025_p166:12_2024
c2025_p166,2024,p163,13,c2025_p166:13_2024
c2025_p166,2024,p163,14,c2025_p166:16
c2025_p166,2024,p163,8888,c2025_p166:8888
c2025_p166,2024,p163,9999,c2025_p166:9999
